ID,CVE-ID,CVSS-V3,CVSS-V2,SEVERITY,DESCRIPTION,CWE-ID,Operating_System,Software_Component,Version,Impact,Affected_Hardware,Network_Requirements,Affected_Protocols,Authentication_Required,Privileges_Required,User_Interaction_Required,Vendor
2050,CVE-2003-0056,,7.2,HIGH,Buffer overflow in secure locate (slocate) before 2.7 allows local users to execute arbitrary code via a long (1) -c or (2) -r command line argument.,NVD-CWE-Other,,,,,,,,,,,
2051,CVE-2003-0057,,7.5,HIGH,"Multiple buffer overflows in Hypermail 2 before 2.1.6 allows remote attackers to cause a denial of service and possibly execute arbitrary code (1) via a long attachment filename that is not properly handled by the hypermail executable, or (2) by connecting to the mail CGI program from an IP address that reverse-resolves to a long hostname.",NVD-CWE-Other,,Hypermail,before 2.1.6,"denial of service, arbitrary code execution",,remote,,,,,
2052,CVE-2003-0058,,5.0,MEDIUM,MIT Kerberos V5 Key Distribution Center (KDC) before 1.2.5 allows remote authenticated attackers to cause a denial of service (crash) on KDCs within the same realm via a certain protocol request that causes a null dereference.,NVD-CWE-Other,,MIT Kerberos V5 Key Distribution Center (KDC),before 1.2.5,denial of service (crash),,remote,,authenticated,,,MIT
2053,CVE-2003-0059,,7.5,HIGH,Unknown vulnerability in the chk_trans.c of the libkrb5 library for MIT Kerberos V5 before 1.2.5 allows users from one realm to impersonate users in other realms that have the same inter-realm keys.,NVD-CWE-Other,,,,,,,,,,,
2054,CVE-2003-0060,,7.5,HIGH,Format string vulnerabilities in the logging routines for MIT Kerberos V5 Key Distribution Center (KDC) before 1.2.5 allow remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via format string specifiers in Kerberos principal names.,NVD-CWE-Other,,,,,,,,,,,
2055,CVE-2003-0061,,7.2,HIGH,Buffer overflow in passwd for HP UX B.10.20 allows local users to execute arbitrary commands with root privileges via a long LANG environment variable.,NVD-CWE-Other,HP UX,passwd,B.10.20,arbitrary commands execution with root privileges,,local,,No,,,HP
2056,CVE-2003-0062,,7.2,HIGH,Buffer overflow in Eset Software NOD32 for UNIX before 1.013 allows local users to execute arbitrary code via a long path name.,NVD-CWE-Other,UNIX,Eset Software NOD32,before 1.013,arbitrary code execution,,local,,,,,Eset
2057,CVE-2003-0063,,7.5,HIGH,"The xterm terminal emulator in XFree86 4.2.0 and earlier allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,xterm terminal emulator,4.2.0 and earlier,arbitrary commands execution,,,,,,Yes,XFree86
2058,CVE-2003-0064,,7.5,HIGH,"The dtterm terminal emulator allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,dtterm terminal emulator,,code execution,,local,,,,Yes,
2059,CVE-2003-0065,,7.5,HIGH,"The uxterm terminal emulator allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,uxterm terminal emulator,,arbitrary commands execution,,local,,,,Yes,
2060,CVE-2003-0066,,7.5,HIGH,"The rxvt terminal emulator 2.7.8 and earlier allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,rxvt terminal emulator,2.7.8 and earlier,arbitrary commands execution,,,,,,yes,
2061,CVE-2003-0067,,7.5,HIGH,"The aterm terminal emulator 0.42 allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,,,,,,,,,,
2062,CVE-2003-0068,,7.5,HIGH,"The Eterm terminal emulator 0.9.1 and earlier allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,Eterm terminal emulator,0.9.1 and earlier,arbitrary commands execution,,local,,,,Yes,
2063,CVE-2003-0069,,7.5,HIGH,"The PuTTY terminal emulator 0.53 allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,,,,,,,,,,
2064,CVE-2003-0070,,6.8,MEDIUM,"VTE, as used by default in gnome-terminal terminal emulator 2.2 and as an option in gnome-terminal 2.0, allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,,,,,,,,,,
2065,CVE-2003-0071,,2.1,LOW,The DEC UDK processing feature in the xterm terminal emulator in XFree86 4.2.99.4 and earlier allows attackers to cause a denial of service via a certain character escape sequence that causes the terminal to enter a tight loop.,NVD-CWE-Other,,,,,,,,,,,
2066,CVE-2003-0072,,5.0,MEDIUM,,NVD-CWE-Other,,,,,,,,,,,
2067,CVE-2003-0073,,5.0,MEDIUM,Double-free vulnerability in mysqld for MySQL before 3.23.55 allows attackers with MySQL access to cause a denial of service (crash) via mysql_change_user.,NVD-CWE-Other,,,,,,,,,,,
2068,CVE-2003-0074,,7.2,HIGH,"Format string vulnerability in mpmain.c for plpnfsd of the plptools package allows remote attackers to execute arbitrary code via the functions (1) debuglog, (2) errorlog, and (3) infolog.",NVD-CWE-Other,,plpnfsd,,arbitrary code execution,,remote,,,,,plptools
2069,CVE-2003-0075,,7.5,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2070,CVE-2003-0076,,6.4,MEDIUM,Unknown vulnerability in the directory parser for Direct Connect 4 Linux (dcgui) before 0.2.2 allows remote attackers to read files outside the sharelist.,NVD-CWE-Other,Linux,Direct Connect 4 Linux (dcgui),before 0.2.2,read files outside the sharelist,,remote,,,,,
2071,CVE-2003-0077,,7.5,HIGH,"The hanterm (hanterm-xf) terminal emulator 2.0.5 and earlier, and possibly later versions, allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands.",NVD-CWE-Other,,hanterm (hanterm-xf) terminal emulator,"2.0.5 and earlier, possibly later versions",arbitrary commands execution,,,,,,Yes,
2072,CVE-2003-0078,,5.0,MEDIUM,,NVD-CWE-Other,,,,,,,,,,,
2073,CVE-2003-0079,,2.1,LOW,The DEC UDK processing feature in the hanterm (hanterm-xf) terminal emulator before 2.0.5 allows attackers to cause a denial of service via a certain character escape sequence that causes the terminal to enter a tight loop.,NVD-CWE-Other,,DEC UDK processing feature in the hanterm (hanterm-xf) terminal emulator,before 2.0.5,denial of service,,,,,,Yes,
2074,CVE-2003-0080,,7.5,HIGH,"The iptables ruleset in Gnome-lokkit in Red Hat Linux 8.0 does not include any rules in the FORWARD chain, which could allow attackers to bypass intended access restrictions if packet forwarding is enabled.",NVD-CWE-Other,,,,,,,,,,,
2075,CVE-2003-0081,,7.5,HIGH,Format string vulnerability in packet-socks.c of the SOCKS dissector for Ethereal 0.8.7 through 0.9.9 allows remote attackers to execute arbitrary code via SOCKS packets containing format string specifiers.,NVD-CWE-Other,,,,,,,,,,,
2076,CVE-2003-0082,,5.0,MEDIUM,,NVD-CWE-Other,,,,,,,,,,,
2077,CVE-2003-0083,,5.0,MEDIUM,"Apache 1.3 before 1.3.25 and Apache 2.0 before version 2.0.46 does not filter terminal escape sequences from its access logs, which could make it easier for attackers to insert those sequences into terminal emulators containing vulnerabilities related to escape sequences, a different vulnerability than CVE-2003-0020.",NVD-CWE-Other,,,,,,,,,,,
2078,CVE-2003-0084,,7.5,HIGH,"mod_auth_any package in Red Hat Enterprise Linux 2.1 and other operating systems does not properly escape arguments when calling other programs, which allows attackers to execute arbitrary commands via shell metacharacters.",NVD-CWE-Other,,,,,,,,,,,
2079,CVE-2003-0085,,10.0,HIGH,"Buffer overflow in the SMB/CIFS packet fragment re-assembly code for SMB daemon (smbd) in Samba before 2.2.8, and Samba-TNG before 0.3.1, allows remote attackers to execute arbitrary code.",NVD-CWE-Other,,SMB daemon (smbd),before 2.2.8,arbitrary code execution,,remote,SMB/CIFS,,,,Samba
2080,CVE-2003-0086,,1.2,LOW,The code for writing reg files in Samba before 2.2.8 allows local users to overwrite arbitrary files via a race condition involving chown.,NVD-CWE-Other,,Samba,before 2.2.8,file overwrite,,local,,Yes,user,,
2081,CVE-2003-0087,,7.2,HIGH,"Buffer overflow in libIM library (libIM.a) for National Language Support (NLS) on AIX 4.3 through 5.2 allows local users to gain privileges via several possible attack vectors, including a long -im argument to aixterm.",NVD-CWE-Other,,,,,,,,,,,
2082,CVE-2003-0088,,7.2,HIGH,TruBlueEnvironment for MacOS 10.2.3 and earlier allows local users to overwrite or create arbitrary files and gain root privileges by setting a certain environment variable that is used to write debugging information.,NVD-CWE-Other,MacOS,TruBlueEnvironment,10.2.3 and earlier,overwrite or create arbitrary files and gain root privileges,,local,,No,,Yes (setting a certain environment variable),
2083,CVE-2003-0089,,7.2,HIGH,Buffer overflow in the Software Distributor utilities for HP-UX B.11.00 and B.11.11 allows local users to execute arbitrary code via a long LANG environment variable to setuid programs such as (1) swinstall and (2) swmodify.,NVD-CWE-Other,,,,,,,,,,,
2084,CVE-2003-0091,,7.2,HIGH,Stack-based buffer overflow in the bsd_queue() function for lpq on Solaris 2.6 and 7 allows local users to gain root privilege.,NVD-CWE-Other,,,,,,,,,,,
2085,CVE-2003-0092,,7.2,HIGH,Heap-based buffer overflow in dtsession for Solaris 2.5.1 through Solaris 9 allows local users to gain root privileges via a long HOME environment variable.,NVD-CWE-Other,,,,,,,,,,,
2086,CVE-2003-0093,,5.0,MEDIUM,"The RADIUS decoder in tcpdump 3.6.2 and earlier allows remote attackers to cause a denial of service (crash) via an invalid RADIUS packet with a header length field of 0, which causes tcpdump to generate data within an infinite loop.",NVD-CWE-Other,,,,,,,,,,,
2087,CVE-2003-0094,,5.0,MEDIUM,"A patch for mcookie in the util-linux package for Mandrake Linux 8.2 and 9.0 uses /dev/urandom instead of /dev/random, which causes mcookie to use an entropy source that is more predictable than expected, which may make it easier for certain types of attacks to succeed.",NVD-CWE-Other,,,,,,,,,,,
2088,CVE-2003-0095,,10.0,HIGH,"Buffer overflow in ORACLE.EXE for Oracle Database Server 9i, 8i, 8.1.7, and 8.0.6 allows remote attackers to execute arbitrary code via a long username that is provided during login, as exploitable through client applications that perform their own authentication, as demonstrated using LOADPSP.",CWE-119,,,,,,,,,,,
2089,CVE-2003-0096,,9.0,HIGH,"Multiple buffer overflows in Oracle 9i Database release 2, Release 1, 8i, 8.1.7, and 8.0.6 allow remote attackers to execute arbitrary code via (1) a long conversion string argument to the TO_TIMESTAMP_TZ function, (2) a long time zone argument to the TZ_OFFSET function, or (3) a long DIRECTORY parameter to the BFILENAME function.",CWE-119,,,,,,,,,,,
2090,CVE-2003-0097,,7.5,HIGH,"Unknown vulnerability in CGI module for PHP 4.3.0 allows attackers to access arbitrary files as the PHP user, and possibly execute PHP code, by bypassing the CGI force redirect settings (cgi.force_redirect or --enable-force-cgi-redirect).",NVD-CWE-Other,,,,,,,,,,,
2091,CVE-2003-0098,,10.0,HIGH,"Unknown vulnerability in apcupsd before 3.8.6, and 3.10.x before 3.10.5, allows remote attackers to gain root privileges, possibly via format strings in a request to a slave server.",NVD-CWE-Other,,,,,,,,,,,
2092,CVE-2003-0099,,7.2,HIGH,"Multiple buffer overflows in apcupsd before 3.8.6, and 3.10.x before 3.10.5, may allow attackers to cause a denial of service or execute arbitrary code, related to usage of the vsprintf function.",NVD-CWE-Other,,,,,,,,,,,
2093,CVE-2003-0100,,7.5,HIGH,Buffer overflow in Cisco IOS 11.2.x to 12.0.x allows remote attackers to cause a denial of service and possibly execute commands via a large number of OSPF neighbor announcements.,NVD-CWE-Other,,Cisco IOS,11.2.x to 12.0.x,denial of service and possibly execute commands,,remote,OSPF,,,,Cisco
2094,CVE-2003-0101,,10.0,HIGH,"miniserv.pl in (1) Webmin before 1.070 and (2) Usermin before 1.000 does not properly handle metacharacters such as line feeds and carriage returns (CRLF) in Base-64 encoded strings during Basic authentication, which allows remote attackers to spoof a session ID and gain root privileges.",NVD-CWE-Other,,,,,,,,,,,
2095,CVE-2003-0102,,4.6,MEDIUM,"Buffer overflow in tryelf() in readelf.c of the file command allows attackers to execute arbitrary code as the user running file, possibly via a large entity size value in an ELF header (elfhdr.e_shentsize).",NVD-CWE-Other,,file command,,arbitrary code execution,,local,,,user running file,,
2096,CVE-2003-0103,,5.0,MEDIUM,"Format string vulnerability in Nokia 6210 handset allows remote attackers to cause a denial of service (crash, lockup, or restart) via a Multi-Part vCard with fields containing a large number of format string specifiers.",NVD-CWE-Other,,,,,,,,,,,
2097,CVE-2003-0104,,5.0,MEDIUM,"Directory traversal vulnerability in PeopleTools 8.10 through 8.18, 8.40, and 8.41 allows remote attackers to overwrite arbitrary files via the SchedulerTransfer servlet.",NVD-CWE-Other,,,,,,,,,,,
2098,CVE-2003-0105,,5.0,MEDIUM,"ServerMask 2.2 and earlier does not obfuscate (1) ETag, (2) HTTP Status Message, or (3) Allow HTTP responses, which could tell remote attackers that the web server is an IIS server.",NVD-CWE-Other,,ServerMask,2.2 and earlier,information disclosure,,remote,HTTP,,,,
2099,CVE-2003-0106,,7.5,HIGH,"The HTTP proxy for Symantec Enterprise Firewall (SEF) 7.0 allows proxy users to bypass pattern matching for blocked URLs via requests that are URL-encoded with escapes, Unicode, or UTF-8.",NVD-CWE-Other,,HTTP proxy for Symantec Enterprise Firewall,7.0,bypass pattern matching for blocked URLs,,,HTTP,,,,Symantec
2100,CVE-2003-0107,,7.5,HIGH,"Buffer overflow in the gzprintf function in zlib 1.1.4, when zlib is compiled without vsnprintf or when long inputs are truncated using vsnprintf, allows attackers to cause a denial of service or possibly execute arbitrary code.",NVD-CWE-Other,,,,,,,,,,,
2101,CVE-2003-0108,,5.0,MEDIUM,"isakmp_sub_print in tcpdump 3.6 through 3.7.1 allows remote attackers to cause a denial of service (CPU consumption) via a certain malformed ISAKMP packet to UDP port 500, which causes tcpdump to enter an infinite loop.",NVD-CWE-Other,,tcpdump,3.6 through 3.7.1,denial of service (CPU consumption),,remote,"ISAKMP, UDP (port 500)",,,,
2102,CVE-2003-0109,,7.5,HIGH,"Buffer overflow in ntdll.dll on Microsoft Windows NT 4.0, Windows NT 4.0 Terminal Server Edition, Windows 2000, and Windows XP allows remote attackers to execute arbitrary code, as demonstrated via a WebDAV request to IIS 5.0.",NVD-CWE-Other,,,,,,,,,,,
2103,CVE-2003-0110,,5.0,MEDIUM,"The Winsock Proxy service in Microsoft Proxy Server 2.0 and the Microsoft Firewall service in Internet Security and Acceleration (ISA) Server 2000 allow remote attackers to cause a denial of service (CPU consumption or packet storm) via a spoofed, malformed packet to UDP port 1745.",NVD-CWE-Other,,,,,,,,,,,
2104,CVE-2003-0111,,7.5,HIGH,,NVD-CWE-Other,Windows,ByteCode Verifier component of Microsoft Virtual Machine,5.0.3809 and earlier,arbitrary code execution,,remote,,,,Yes,Microsoft
2105,CVE-2003-0112,,4.6,MEDIUM,Buffer overflow in Windows Kernel allows local users to gain privileges by causing certain error messages to be passed to a debugger.,NVD-CWE-Other,,,,,,,,,,,
2106,CVE-2003-0113,,7.5,HIGH,"Buffer overflow in URLMON.DLL in Microsoft Internet Explorer 5.01, 5.5 and 6.0 allows remote attackers to execute arbitrary code via an HTTP response containing long values in (1) Content-type and (2) Content-encoding fields.",NVD-CWE-Other,Windows,URLMON.DLL in Microsoft Internet Explorer,"5.01, 5.5, 6.0",arbitrary code execution,,remote,HTTP,,,,Microsoft
2107,CVE-2003-0114,,5.0,MEDIUM,"The file upload control in Microsoft Internet Explorer 5.01, 5.5, and 6.0 allows remote attackers to automatically upload files from the local system via a web page containing a script to upload the files.",NVD-CWE-Other,Windows,file upload control in Microsoft Internet Explorer,"5.01, 5.5, 6.0",automatically upload files from the local system,,remote,,,,Yes,Microsoft
2108,CVE-2003-0115,,7.5,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2109,CVE-2003-0116,,5.0,MEDIUM,,NVD-CWE-Other,,,,,,,,,,,
2110,CVE-2003-0117,,7.5,HIGH,Buffer overflow in the HTTP receiver function (BizTalkHTTPReceive.dll ISAPI) of Microsoft BizTalk Server 2002 allows attackers to execute arbitrary code via a certain request to the HTTP receiver.,NVD-CWE-Other,Windows,BizTalkHTTPReceive.dll ISAPI,2002,arbitrary code execution,,remote,HTTP,,,,Microsoft
2111,CVE-2003-0118,,7.5,HIGH,SQL injection vulnerability in the Document Tracking and Administration (DTA) website of Microsoft BizTalk Server 2000 and 2002 allows remote attackers to execute operating system commands via a request to (1) rawdocdata.asp or (2) RawCustomSearchField.asp containing an embedded SQL statement.,NVD-CWE-Other,,Document Tracking and Administration (DTA) website,,,,,,,,,
2112,CVE-2003-0119,,7.5,HIGH,"The secldapclntd daemon in AIX 4.3, 5.1 and 5.2 uses an Internet socket when communicating with the loadmodule, which allows remote attackers to directly connect to the daemon and conduct unauthorized activities.",NVD-CWE-Other,AIX,secldapclntd daemon,,,,,,,,,
2113,CVE-2003-0120,,1.2,LOW,adb2mhc in the mhc-utils package before 0.25+20010625-7.1 allows local users to overwrite arbitrary files via a symlink attack on a default temporary directory with a predictable name.,NVD-CWE-Other,,,,,,,,,,,
2114,CVE-2003-0121,,7.5,HIGH,"Clearswift MAILsweeper 4.x allows remote attackers to bypass attachment detection via an attachment that does not specify a MIME-Version header field, which is processed by some mail clients.",NVD-CWE-Other,,Clearswift MAILsweeper,4.x,bypass attachment detection,,remote,,,,,Clearswift
2115,CVE-2003-0122,,5.0,MEDIUM,"Buffer overflow in Notes server before Lotus Notes R4, R5 before 5.0.11, and early R6 allows remote attackers to execute arbitrary code via a long distinguished name (DN) during NotesRPC authentication and an outer field length that is less than that of the DN field.",NVD-CWE-Other,,,,,,,,,,,
2116,CVE-2003-0123,,5.0,MEDIUM,Buffer overflow in Web Retriever client for Lotus Notes/Domino R4.5 through R6 allows remote malicious web servers to cause a denial of service (crash) via a long HTTP status line.,NVD-CWE-Other,,,,,,,,,,,
2117,CVE-2003-0124,,4.6,MEDIUM,,NVD-CWE-Other,,,,,,,,,,,
2118,CVE-2003-0125,,5.0,MEDIUM,Buffer overflow in the web interface for SOHO Routefinder 550 before firmware 4.63 allows remote attackers to cause a denial of service (reboot) and execute arbitrary code via a long GET /OPTIONS value.,NVD-CWE-Other,,,,,,,,,,,
2119,CVE-2003-0126,,7.5,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2120,CVE-2003-0127,,7.2,HIGH,"The kernel module loader in Linux kernel 2.2.x before 2.2.25, and 2.4.x before 2.4.21, allows local users to gain root privileges by using ptrace to attach to a child process that is spawned by the kernel.",NVD-CWE-Other,,,,,,,,,,,
2121,CVE-2003-0128,,5.0,MEDIUM,"The try_uudecoding function in mail-format.c for Ximian Evolution Mail User Agent 1.2.2 and earlier allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a malicious uuencoded (UUE) header, possibly triggering a heap-based buffer overflow.",NVD-CWE-Other,,Ximian Evolution Mail User Agent,1.2.2 and earlier,denial of service (crash) and possibly execute arbitrary code,,remote,,,,,Ximian
2122,CVE-2003-0129,,5.0,MEDIUM,Ximian Evolution Mail User Agent 1.2.2 and earlier allows remote attackers to cause a denial of service (memory consumption) via a mail message that is uuencoded multiple times.,NVD-CWE-Other,,Ximian Evolution Mail User Agent,1.2.2 and earlier,denial of service (memory consumption),,remote,,,,,
2123,CVE-2003-0130,,5.0,MEDIUM,"The handle_image function in mail-format.c for Ximian Evolution Mail User Agent 1.2.2 and earlier does not properly escape HTML characters, which allows remote attackers to inject arbitrary data and HTML via a MIME Content-ID header in a MIME-encoded image.",NVD-CWE-Other,,Ximian Evolution Mail User Agent,1.2.2 and earlier,arbitrary data and HTML injection,,remote,,,,,Ximian
2124,CVE-2003-0131,,7.5,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2125,CVE-2003-0132,,5.0,MEDIUM,"A memory leak in Apache 2.0 through 2.0.44 allows remote attackers to cause a denial of service (memory consumption) via large chunks of linefeed characters, which causes Apache to allocate 80 bytes for each linefeed.",CWE-772,,,,,,,,,,,
2126,CVE-2003-0133,,5.0,MEDIUM,"GtkHTML, as included in Evolution before 1.2.4, allows remote attackers to cause a denial of service (crash) via certain malformed messages.",NVD-CWE-Other,,GtkHTML,before 1.2.4,denial of service (crash),,remote,,,,,
2127,CVE-2003-0134,,5.0,MEDIUM,"Unknown vulnerability in filestat.c for Apache running on OS2, versions 2.0 through 2.0.45, allows unknown attackers to cause a denial of service via requests related to device names.",NVD-CWE-Other,,,,,,,,,,,
2128,CVE-2003-0135,,7.5,HIGH,"vsftpd FTP daemon in Red Hat Linux 9 is not compiled against TCP wrappers (tcp_wrappers) but is installed as a standalone service, which inadvertently prevents vsftpd from restricting access as intended.",NVD-CWE-Other,,,,,,,,,,,
2129,CVE-2003-0136,,2.1,LOW,psbanner in the LPRng package allows local users to overwrite arbitrary files via a symbolic link attack on the /tmp/before file.,NVD-CWE-Other,,psbanner in the LPRng package,,overwrite arbitrary files,,local,,No,user level,,
2130,CVE-2003-0137,,5.0,MEDIUM,SNMP daemon in the DX200 based network element for Nokia Serving GPRS support node (SGSN) allows remote attackers to read SNMP options via arbitrary community strings.,NVD-CWE-Other,,,,,,,,,,,
2131,CVE-2003-0138,,7.5,HIGH,"Version 4 of the Kerberos protocol (krb4), as used in Heimdal and other packages, allows an attacker to impersonate any principal in a realm via a chosen-plaintext attack.",NVD-CWE-Other,,"Kerberos protocol, specifically Heimdal and other packages",4 (krb4),impersonation of any principal in a realm,,,Kerberos,,,No,
2132,CVE-2003-0139,,7.5,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2133,CVE-2003-0140,,7.5,HIGH,"Buffer overflow in Mutt 1.4.0 and possibly earlier versions, 1.5.x up to 1.5.3, and other programs that use Mutt code such as Balsa before 2.0.10, allows a remote malicious IMAP server to cause a denial of service (crash) and possibly execute arbitrary code via a crafted folder.",NVD-CWE-Other,,,,,,,,,,,
2134,CVE-2003-0141,,5.1,MEDIUM,"The PNG deflate algorithm in RealOne Player 6.0.11.x and earlier, RealPlayer 8/RealPlayer Plus 8 6.0.9.584, and other versions allows remote attackers to corrupt the heap and overwrite arbitrary memory via a PNG graphic file format containing compressed data using fixed trees that contain the length values 286-287, which are treated as a very large length.",NVD-CWE-Other,,,,,,,,,,,
2135,CVE-2003-0142,,5.0,MEDIUM,,NVD-CWE-Other,,Adobe Acrobat Reader,6,run untrusted plugins,,,,,,Yes,Adobe
2136,CVE-2003-0143,,10.0,HIGH,"The pop_msg function in qpopper 4.0.x before 4.0.5fc2 does not null terminate a message buffer after a call to Qvsnprintf, which could allow authenticated users to execute arbitrary code via a buffer overflow in a mdef command with a long macro name.",NVD-CWE-Other,,qpopper,4.0.x before 4.0.5fc2,arbitrary code execution,,,,Yes,authenticated users,,
2137,CVE-2003-0144,,7.2,HIGH,"Buffer overflow in the lprm command in the lprold lpr package on SuSE 7.1 through 7.3, OpenBSD 3.2 and earlier, and possibly other operating systems, allows local users to gain root privileges via long command line arguments such as (1) request ID or (2) user name.",NVD-CWE-Other,,,,,,,,,,,
2138,CVE-2003-0145,,5.0,MEDIUM,,NVD-CWE-Other,,,,,,,,,,,
2139,CVE-2003-0146,,7.5,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2140,CVE-2003-0147,,5.0,MEDIUM,,NVD-CWE-Other,,OpenSSL,,obtain the server's private key,,local and remote,,,,,OpenSSL
2141,CVE-2003-0148,,7.2,HIGH,"The default installation of MSDE via McAfee ePolicy Orchestrator 2.0 through 3.0 allows attackers to execute arbitrary code via a series of steps that (1) obtain the database administrator username and encrypted password in a configuration file from the ePO server using a certain request, (2) crack the password due to weak cryptography, and (3) use the password to pass commands through xp_cmdshell.",NVD-CWE-Other,,,,,,,,,,,
2142,CVE-2003-0149,,7.5,HIGH,"Heap-based buffer overflow in ePO agent for McAfee ePolicy Orchestrator 2.0, 2.5, and 2.5.1 allows remote attackers to execute arbitrary code via a POST request containing long parameters.",NVD-CWE-Other,,,,,,,,,,,
2143,CVE-2003-0150,,9.0,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2144,CVE-2003-0151,,7.5,HIGH,"BEA WebLogic Server and Express 6.0 through 7.0 does not properly restrict access to certain internal servlets that perform administrative functions, which allows remote attackers to read arbitrary files or execute arbitrary code.",NVD-CWE-Other,,BEA WebLogic Server and Express,6.0 through 7.0,read arbitrary files or execute arbitrary code,,remote,,,,,BEA
2145,CVE-2003-0152,,7.5,HIGH,Unknown vulnerability in bonsai Mozilla CVS query tool allows remote attackers to execute arbitrary commands as the www-data user.,NVD-CWE-Other,,bonsai Mozilla CVS query tool,,arbitrary commands execution,,remote,,,as the www-data user,,Mozilla
2146,CVE-2003-0153,,5.0,MEDIUM,"bonsai Mozilla CVS query tool leaks the absolute pathname of the tool in certain error messages generated by (1) cvslog.cgi, (2) cvsview2.cgi, or (3) multidiff.cgi.",NVD-CWE-Other,,bonsai Mozilla CVS query tool,,pathname leakage,,,['HTTP'],,,,Mozilla
2147,CVE-2003-0154,,6.8,MEDIUM,"Cross-site scripting vulnerabilities (XSS) in bonsai Mozilla CVS query tool allow remote attackers to execute arbitrary web script via (1) the file, root, or rev parameters to cvslog.cgi, (2) the file or root parameters to cvsblame.cgi, (3) various parameters to cvsquery.cgi, (4) the person parameter to showcheckins.cgi, (5) the module parameter to cvsqueryform.cgi, and (6) possibly other attack vectors as identified by Mozilla bug #146244.",NVD-CWE-Other,,bonsai Mozilla CVS query tool,,arbitrary web script execution,,remote,HTTP,,,,Mozilla
2148,CVE-2003-0155,,5.0,MEDIUM,bonsai Mozilla CVS query tool allows remote attackers to gain access to the parameters page without authentication.,NVD-CWE-Other,,bonsai Mozilla CVS query tool,,access to parameters page,,remote,,No,,,Mozilla
2149,CVE-2003-0156,,5.0,MEDIUM,Directory traversal vulnerability in Cross-Referencing Linux (LXR) allows remote attackers to read arbitrary files via .. (dot dot) sequences in the v parameter.,NVD-CWE-Other,Linux,Cross-Referencing Linux (LXR),,read arbitrary files,,remote,,,,,
2150,CVE-2003-0159,,7.5,HIGH,Heap-based buffer overflow in the NTLMSSP code for Ethereal 0.9.9 and earlier allows remote attackers to cause a denial of service and possibly execute arbitrary code.,NVD-CWE-Other,,,,,,,,,,,
2151,CVE-2003-0160,,5.8,MEDIUM,Multiple cross-site scripting (XSS) vulnerabilities in SquirrelMail before 1.2.11 allow remote attackers to inject arbitrary HTML code and steal information from a client's web browser.,NVD-CWE-Other,,SquirrelMail,before 1.2.11,information theft,,remote,HTTP,,,Yes,
2152,CVE-2003-0161,,10.0,HIGH,,NVD-CWE-Other,,,,,,,,,,,
2153,CVE-2003-0162,,7.5,HIGH,Ecartis 1.0.0 (formerly listar) before snapshot 20030227 allows remote attackers to reset passwords of other users and gain privileges by modifying hidden form fields in the HTML page.,NVD-CWE-Other,,Ecartis,1.0.0,password reset and privilege gain,,remote,,No,,Yes,
2154,CVE-2003-0163,,5.0,MEDIUM,"decrypt_msg for the Gaim-Encryption GAIM plugin 1.15 and earlier does not properly validate a message length parameter, which allows remote attackers to cause a denial of service (crash) via a negative length, which overwrites arbitrary heap memory with a zero byte.",NVD-CWE-Other,,,,,,,,,,,
2155,CVE-2003-0165,,4.6,MEDIUM,Format string vulnerability in Eye Of Gnome (EOG) allows attackers to execute arbitrary code via format string specifiers in a command line argument for the file to display.,NVD-CWE-Other,,,,,,,,,,,
